English Word,Transcription,Russian Translation,Difficulty,Category,Example Sentence
maintain,meɪnˈteɪn,поддерживать,1,Verbs,"They maintain the machines regularly to avoid breakdowns."
troubleshoot,ˈtrʌblʃuːt,устранять неполадки,2,Verbs,"The IT department is troubleshooting the network issue."
document,ˈdɒkjʊmənt,документировать,2,Verbs,"He documented the entire process in detail."
archive,ˈɑrkɪv,архивировать,2,Verbs,"They archived the old files to free up space."
backup,ˈbækˌʌp,резервировать,2,Verbs,"Remember to backup your data regularly."
encrypt,ɪnˈkrɪpt,шифровать,2,Verbs,"The company encrypts sensitive information for security."
decrypt,diːˈkrɪpt,расшифровывать,2,Verbs,"He decrypted the message to access the hidden data."
compress,kəmˈprɛs,сжимать,2,Verbs,"They compressed the file to reduce its size."
decompress,diːkəmˈprɛs,разжимать,2,Verbs,"You need special software to decompress the folder."
restore,rɪˈstɔr,восстанавливать,2,Verbs,"The team managed to restore the lost data."
recover,rɪˈkʌvər,восстанавливать,2,Verbs,"It took hours to recover the deleted files."
upgrade,ˈʌpˌɡreɪd,обновлять,2,Verbs,"They upgraded the software to the latest version."
update,ʌpˈdeɪt,обновлять,2,Verbs,"She updates her apps every week."
modify,ˈmɒdɪfaɪ,изменять,2,Verbs,"You can modify the settings to suit your preferences."
customize,ˈkʌstəˌmaɪz,настраивать,2,Verbs,"He customized the homepage to show relevant content."
configure,kənˈfɪɡə,настраивать,2,Verbs,"She configured the system to run more efficiently."
personalize,ˈpɜrsənəˌlaɪz,персонализировать,2,Verbs,"You can personalize the app’s appearance to match your style."
develop,dɪˈvɛləp,разрабатывать,2,Verbs,"The team is developing a new mobile app."
create,kriˈeɪt,создавать,2,Verbs,"She created a stunning design for the project."
generate,ˈʤɛnəˌreɪt,генерировать,2,Verbs,"The software generates random numbers for testing."
construct,kənˈstrʌkt,конструировать,2,Verbs,"They constructed a model of the new building."
design,dɪˈzaɪn,дизайнировать,2,Verbs,"She designed the logo for the new brand."
describe,dɪˈskraɪb,описывать,2,Verbs,"Can you describe what the suspect looked like?"
illustrate,ˈɪləˌstreɪt,иллюстрировать,2,Verbs,"The artist illustrated the children’s book beautifully."
clarify,ˈklærəˌfaɪ,уточнять,2,Verbs,"Could you clarify your statement from earlier?"
interpret,ɪnˈtɜrprɪt,интерпретировать,2,Verbs,"She interpreted the data to find useful patterns."
translate,trænsˈleɪt,переводить,2,Verbs,"He translated the document from English to Russian."
advocate,ˈædvəˌkeɪt,отстаивать,3,Verbs,"She advocates for equal rights in the workplace."
assist,əˈsɪst,помогать,2,Verbs,"He assisted his colleague with the report."
aid,eɪd,помогать,1,Verbs,"The government sent aid to the flood victims."
facilitate,fəˈsɪlɪˌteɪt,способствовать,3,Verbs,"The new system facilitates smoother communication between teams."
back,bæk,поддерживать,1,Verbs,"She backed his decision to start the new project."
advise,ədˈvaɪz,советовать,1,Verbs,"The teacher advised her to study harder."
propose,prəˈpoʊz,предлагать,2,Verbs,"He proposed a new plan during the meeting."
submit,səbˈmɪt,подавать,2,Verbs,"Please submit your assignment by Friday."
present,ˈprɛzənt,представлять,1,Verbs,"She presented the findings at the conference."
offer,ˈɔfər,предлагать,1,Verbs,"He offered to help with the project."
request,rɪˈkwɛst,запрашивать,1,Verbs,"She requested a day off from work."
ask,æsk,просить,1,Verbs,"He asked her for advice on the matter."
demand,dɪˈmænd,требовать,2,Verbs,"The workers demanded better pay and conditions."
require,rɪˈkwaɪər,требовать,2,Verbs,"This job requires a high level of skill."
introduce,ˌɪntrəˈdus,вводить,2,Verbs,"The company introduced a new policy last year."
initiate,ɪˈnɪʃiˌeɪt,начинать,2,Verbs,"He initiated the negotiations between the two companies."
start,stɑrt,начинать,1,Verbs,"She started a new project last week."
begin,bɪˈɡɪn,начинать,1,Verbs,"They began working on the project right away."
commence,kəˈmɛns,начинать,2,Verbs,"The meeting will commence at 10 a.m."
launch,lɔnʧ,запускать,1,Verbs,"They launched a new product line this summer."
conclude,kənˈkluːd,заключать,2,Verbs,"The meeting concluded after two hours."
finish,ˈfɪnɪʃ,заканчивать,1,Verbs,"She finished the report ahead of schedule."
complete,kəmˈpliːt,завершать,2,Verbs,"He completed the task with great attention to detail."
end,ɛnd,заканчивать,1,Verbs,"The concert ended at midnight."
terminate,ˈtɜrmɪˌneɪt,завершать,2,Verbs,"The contract was terminated early due to unforeseen circumstances."
finalize,ˈfaɪnəlˌaɪz,завершать,2,Verbs,"They finalized the details of the deal last night."
execute,ˈɛksɪˌkjut,выполнять,2,Verbs,"The program executes the command in milliseconds."
implement,ˈɪmplɪˌmɛnt,реализовывать,2,Verbs,"They implemented a new strategy to boost sales."
apply,əˈplaɪ,применять,1,Verbs,"He applied for a job at the new company."
use,juːz,использовать,1,Verbs,"She uses her phone to check emails."
operate,ˈɒpəˌreɪt,управлять,2,Verbs,"He operates heavy machinery at the construction site."
run,rʌn,управлять,1,Verbs,"She runs her own business from home."
oversee,ˈoʊvərˌsiː,надзирать,2,Verbs,"He oversees all the operations in the company."
handle,ˈhændl,обращаться с,1,Verbs,"She handles customer complaints with care."
manipulate,məˈnɪpjʊˌleɪt,манипулировать,2,Verbs,"He manipulated the data to get the desired outcome."
drive,draɪv,управлять,1,Verbs,"He drives to work every day."
steer,stɪər,направлять,1,Verbs,"She steered the car safely through the storm."
navigate,ˈnævɪˌɡeɪt,управлять,2,Verbs,"They navigated the ship through the rough waters."
adjust,əˈʤʌst,регулировать,2,Verbs,"She adjusted the seat to fit her height."
produce,prəˈdjus,производить,2,Verbs,"The factory produces hundreds of cars every day."
manufacture,ˌmænjəˈfækʧər,производить,2,Verbs,"They manufacture parts for electronic devices."
assemble,əˈsɛmbəl,собирать,2,Verbs,"The team assembled the new furniture quickly."
setup,ˈsɛtˌʌp,настраивать,2,Verbs,"He set up the system for optimal performance."
calibrate,ˈkælɪˌbreɪt,калибровать,2,Verbs,"They calibrated the equipment to ensure accurate results."
tune,tjun,настраивать,1,Verbs,"He tuned the guitar before the concert."
improve,ɪmˈpruv,улучшать,1,Verbs,"She improved her skills by practicing every day."
enhance,ɪnˈhæns,улучшать,2,Verbs,"The upgrade enhanced the device's performance."
boost,buːst,ускорять,1,Verbs,"The new advertising campaign boosted sales significantly."
accelerate,ækˈsɛləˌreɪt,ускорять,2,Verbs,"The car accelerated quickly on the highway."
speed,spiːd,ускорять,1,Verbs,"He sped up to catch the train."
hasten,ˈheɪsn,ускорять,2,Verbs,"She hastened to finish the project before the deadline."
slow,sloʊ,замедлять,1,Verbs,"He slowed down to avoid the traffic jam."
delay,dɪˈleɪ,задерживать,2,Verbs,"The flight was delayed due to bad weather."
postpone,poʊstˈpoʊn,откладывать,2,Verbs,"They postponed the meeting until next week."
reschedule,riˈskɛʤəl,переносить,3,Verbs,"She rescheduled her appointment for next month."
cancel,ˈkænsəl,отменять,2,Verbs,"They cancelled the event due to low attendance."
stop,stɑp,останавливать,1,Verbs,"He stopped the machine to fix a technical issue."
pause,pɔz,приостанавливать,1,Verbs,"She paused the video to answer the phone."
interrupt,ˌɪntəˈrʌpt,прерывать,2,Verbs,"He interrupted the speaker with a question."
suspend,səˈspɛnd,приостанавливать,2,Verbs,"The service was suspended due to non-payment."
confirm,kənˈfɜrm,подтверждать,2,Verbs,"They confirmed the reservation for the hotel."
assess,əˈsɛs,оценивать,2,Verbs,"The teacher assessed the students’ performance."
certify,ˈsɜrtɪˌfaɪ,сертифицировать,2,Verbs,"The company certifies its products for safety standards."
verify,ˈvɛrɪfaɪ,проверять,2,Verbs,"The system verifies your identity before granting access."
check,ʧɛk,проверять,1,Verbs,"She checked the email for any updates."
inspect,ɪnˈspɛkt,инспектировать,2,Verbs,"They inspected the building for safety hazards."
audit,ˈɔːdɪt,аудировать,2,Verbs,"The accountant audited the company’s financial records."
approve,əˈpruv,утверждать,2,Verbs,"The manager approved the budget proposal."
authorize,ˈɔːθəˌraɪz,санкционировать,3,Verbs,"Only the director can authorize such a decision."
evaluate,ɪˈvæljuˌeɪt,оценивать,2,Verbs,"They evaluated the new system’s performance."
review,rɪˈvjuː,обозревать,2,Verbs,"She reviewed the report before sending it to the client."
that,ðæt,что/тот,1,Common Phrases,"That is the book I was talking about."
for,fɔːr,для/за,1,Common Phrases,"This gift is for you."
you,juː,ты/вы,1,Common Phrases,"I will help you with the project."
he,hiː,он,1,Common Phrases,"He is the new manager."
with,wɪð,с,1,Common Phrases,"She went to the meeting with him."
on,ɒn,на,1,Common Phrases,"The report is on the desk."
do,duː,делать,1,Common Phrases,"Do you need help with that?"
this,ðɪs,это,1,Common Phrases,"This is my favorite book."
they,ðeɪ,они,1,Common Phrases,"They are going to the conference together."
at,æt,в/на,1,Common Phrases,"The meeting will be at 10 a.m."
but,bʌt,но,1,Common Phrases,"She wanted to go, but she was too busy."
we,wiː,мы,1,Common Phrases,"We are working on the project."
his,hɪz,его,1,Common Phrases,"That is his car."
from,frəm,из/от,1,Common Phrases,"He is from New York."
not,nɒt,не,1,Common Phrases,"They are not available at the moment."
n't,n̩t,не,1,Common Phrases,"She didn't attend the meeting."
by,baɪ,по/через,1,Common Phrases,"The project was completed by the deadline."
she,ʃiː,она,1,Common Phrases,"She is a talented designer."
or,ɔːr,или,1,Common Phrases,"Would you like tea or coffee?"
as,æz,как/будучи,1,Common Phrases,"She works as a teacher."
what,wɒt,что,1,Common Phrases,"What is your name?"
go,ɡəʊ,идти/ехать,1,Common Phrases,"They will go to the park."
their,ðɛr,их,1,Common Phrases,"That is their house."
can,kæn,мочь,1,Common Phrases,"Can you help me?"
who,huː,кто,1,Common Phrases,"Who is that?"
get,ɡɛt,получить/стать,1,Common Phrases,"He will get the book for you."
if,ɪf,если,1,Common Phrases,"If it rains, we’ll stay indoors."
would,wʊd,бы,1,Common Phrases,"I would like to come with you."
her,hɜːr,её,1,Common Phrases,"That is her car."
all,ɔːl,всё,1,Common Phrases,"All the tickets are sold out."
my,maɪ,мой,1,Common Phrases,"This is my favorite movie."
make,meɪk,делать,1,Common Phrases,"Can you make me a cup of tea?"
about,əˈbaʊt,о/об,1,Common Phrases,"We talked about the project."
know,noʊ,знать,1,Common Phrases,"I know the answer."
will,wɪl,будет/воля,1,Common Phrases,"He will arrive tomorrow."
up,ʌp,вверх,1,Prepositions,"She looked up at the stars."
one,wʌn,один,1,Numbers,"He has one dog."
time,taɪm,время,1,Time,"Do you have time to meet?"
there,ðɛr,там,2,Adverbs,"There is a cat under the table."
year,jɪr,год,1,Time,"This year has been challenging."
so,soʊ,так/поэтому,1,Conjunctions,"It was raining, so we stayed inside."
think,θɪŋk,думать,1,Verbs,"I think we should leave now."
when,wɛn,когда,1,Conjunctions,"When will you arrive?"
which,wɪʧ,который,2,Relative Pronouns,"Which one do you prefer?"
them,ðɛm,их,1,Pronouns,"I gave them the book."
some,sʌm,некоторые,1,Determiners,"Some people prefer tea over coffee."
me,miː,меня/мне,1,Pronouns,"Can you help me with this?"
people,ˈpiːpəl,люди,2,People,"People are gathering at the square."
take,teɪk,взять,1,Verbs,"Take this umbrella in case it rains."
out,aʊt,вне/наружу,1,Prepositions,"She stepped out of the room."
into,ˈɪntuː,в,1,Prepositions,"They walked into the building."
just,ʤʌst,просто,1,Adverbs,"I just finished my homework."
see,siː,видеть,1,Verbs,"Can you see the mountains from here?"
him,hɪm,его,1,Pronouns,"She gave him the book."
your,jɔːr,твой/ваш,1,Pronouns,"This is your pen."
come,kʌm,приходить,1,Verbs,"They will come to the party."
could,kʊd,мог бы,2,Modal Verbs,"I could help you with that."
now,naʊ,сейчас,1,Adverbs,"We need to leave now."
than,ðæn,чем,1,Conjunctions,"She is taller than him."
like,laɪk,нравиться,1,Verbs,"I like this song."
other,ˈʌðər,другой,2,Adjectives,"Do you have any other options?"
how,haʊ,как,1,Adverbs,"How did you get here?"
then,ðɛn,тогда,1,Adverbs,"We will eat, then go for a walk."
its,ɪts,его/её,1,Pronouns,"The cat is licking its paws."
our,ˈaʊər,наш,1,Pronouns,"This is our home."
two,tuː,два,1,Numbers,"They have two children."
more,mɔːr,больше,1,Adverbs,"He wants more cake."
these,ðiːz,эти,1,Demonstrative Pronouns,"These shoes are very comfortable."
want,wɒnt,хотеть,1,Verbs,"I want to go home."
way,weɪ,путь/способ,1,Nouns,"There is no other way to solve this."
look,lʊk,смотреть,1,Verbs,"Look at the sunset."
first,fɜːst,первый,1,Numbers,"She was the first to arrive."
also,ˈɔːlsoʊ,также,1,Conjunctions,"He is also coming to the party."
new,njuː,новый,1,Adjectives,"She bought a new dress."
because,bɪˈkɒz,потому что,1,Conjunctions,"I am late because I missed the bus."
day,deɪ,день,1,Time,"It was a sunny day."
no,noʊ,нет,1,Adverbs,"No, I don’t need help."
man,mæn,мужчина,1,People,"He is a kind man."
find,faɪnd,найти,1,Verbs,"I need to find my keys."
here,hɪr,здесь,1,Adverbs,"You can leave your bag here."
thing,θɪŋ,вещь,1,Objects,"What is that thing on the table?"
give,ɡɪv,давать,1,Verbs,"Give me the book, please."
many,ˈmɛni,многие,1,Quantifiers,"Many people came to the event."
well,wɛl,хорошо,1,Adverbs,"He did well on the test."
only,ˈoʊnli,только,1,Adverbs,"She is the only one who can help."
those,ðoʊz,те,1,Demonstrative Pronouns,"Those are my shoes."
tell,tɛl,сказать,1,Verbs,"Can you tell me your name?"
very,ˈvɛri,очень,1,Adverbs,"She is very smart."
even,ˈiːvən,даже,1,Adverbs,"Even he was surprised by the news."
back,bæk,назад,1,Adverbs,"She came back home late."
any,ˈɛni,любой,1,Quantifiers,"You can take any of these books."
good,ɡʊd,хороший,1,Adjectives,"This is a good idea."
woman,ˈwʊmən,женщина,1,People,"She is a strong woman."
through,θruː,через,2,Prepositions,"We walked through the forest."
us,ʌs,нас/нам,1,Pronouns,"They gave us directions."
life,laɪf,жизнь,1,Common Phrases,"Life is beautiful."
child,ʧaɪld,ребёнок,1,People,"The child was playing in the garden."
work,wɜːrk,работать,1,Verbs,"He works at a hospital."
down,daʊn,вниз,1,Prepositions,"We walked down the hill."
may,meɪ,может,1,Modal Verbs,"May I ask a question?"
after,ˈæftər,после,1,Prepositions,"We will meet after lunch."
should,ʃʊd,должен,1,Modal Verbs,"You should rest after the long day."
call,kɔːl,звонить,1,Verbs,"I will call you later."
world,wɜːrld,мир,2,Nature,"The world is a beautiful place."
over,ˈoʊvər,над/сверх,1,Prepositions,"She hung the picture over the fireplace."
still,stɪl,всё ещё,1,Adverbs,"It is still raining."
try,traɪ,пытаться,1,Verbs,"She will try to finish the project on time."
in,ɪn,в,1,Prepositions,"The keys are in the drawer."
last,læst,последний,1,Adjectives,"This is the last book in the series."
ask,æsk,спросить,1,Verbs,"Can I ask you a question?"
need,niːd,нуждаться,1,Verbs,"I need a break."
too,tuː,тоже,1,Adverbs,"I want to go too."
feel,fiːl,чувствовать,1,Verbs,"I feel tired."
three,θriː,три,1,Numbers,"They have three children."
state,steɪt,состояние,1,Nouns,"The state of the car is good."
never,ˈnɛvər,никогда,1,Adverbs,"She never gives up."
become,bɪˈkʌm,стать,1,Verbs,"She wants to become a doctor."
between,bɪˈtwiːn,между,2,Prepositions,"There is a river between the mountains."
high,haɪ,высокий,1,Adjectives,"The mountain is very high."
really,ˈrɪəli,действительно,1,Adverbs,"I really like this movie."
something,ˈsʌmθɪŋ,что-то,2,Nouns,He said something interesting.
most,moʊst,большинство,1,Adverbs,Most people like pizza.
another,əˈnʌðər,другой,2,Adjectives,She bought another dress.
much,mʌʧ,много,1,Quantifiers,He doesn't have much time.
family,ˈfæmɪli,семья,1,Nouns,I love spending time with my family.
own,oʊn,свой,1,Verbs,She owns a car.
leave,liːv,покидать,1,Verbs,I will leave the party early.
put,pʊt,положить,1,Verbs,Please put the book on the table.
old,oʊld,старый,1,Adjectives,He is an old man.
while,waɪl,пока,1,Conjunctions,She read a book while waiting.
mean,miːn,значить,1,Verbs,What does this word mean?
keep,kiːp,держать,1,Verbs,Keep the door closed.
student,ˈstuːdənt,студент,1,People,The student is studying hard.
why,waɪ,почему,1,Adverbs,Why is the sky blue?
let,lɛt,позволять,1,Verbs,Let him finish his work.
great,ɡreɪt,великий,1,Adjectives,It was a great day!
same,seɪm,такой же,1,Adjectives,We have the same phone.
big,bɪɡ,большой,1,Adjectives,That is a big house.
group,ɡruːp,группа,1,Nouns,The group met at the park.
seem,siːm,казаться,1,Verbs,She seems happy today.
country,ˈkʌntri,страна,1,Places,France is a beautiful country.
where,wɛr,где,1,Adverbs,Where are you going?
turn,tɜːrn,поворачивать,1,Verbs,Turn left at the corner.
problem,ˈprɒbləm,проблема,1,Nouns,We have a problem with the car.
every,ˈɛvri,каждый,1,Determiners,Every student passed the exam.
hand,hænd,рука,1,Body Parts,She raised her hand to ask a question.
might,maɪt,мог бы,1,Modal Verbs,He might come later.
American,əˈmɛrɪkən,американец,1,People,She is an American citizen.
show,ʃoʊ,показывать,1,Verbs,Can you show me the way?
part,pɑːrt,часть,1,Nouns,This is the best part of the movie.
against,əˈɡɛnst,против,1,Prepositions,They are against the new law.
place,pleɪs,место,1,Places,This is a good place to relax.
such,sʌʧ,такой,1,Determiners,It was such a beautiful day.
again,əˈɡɛn,снова,1,Adverbs,I'll call you again tomorrow.
few,fjuː,несколько,1,Quantifiers,A few people came to the party.
case,keɪs,случай,1,Nouns,In this case you are right.
week,wiːk,неделя,1,Time,I will see you next week.
company,ˈkʌmpəni,компания,1,Nouns,She works for a big company.
system,ˈsɪstəm,система,1,Nouns,The system is not working properly.
each,iːʧ,каждый,1,Determiners,Each student has a textbook.
right,raɪt,правильный,1,Adjectives,You are absolutely right!
program,ˈproʊɡræm,программа,1,Nouns,The TV program starts at 8 PM.
hear,hɪər,слышать,1,Verbs,I can hear music from the next room.
question,ˈkwɛsʧən,вопрос,1,Nouns,Do you have a question for the teacher?
during,ˈdjʊərɪŋ,во время,1,Prepositions,She fell asleep during the movie.
play,pleɪ,играть,1,Verbs,The kids play outside every day.
government,ˈɡʌvərnmənt,правительство,2,Politics,The government made a new law.
run,rʌn,бегать,1,Verbs,He likes to run in the morning.
small,smɔːl,маленький,1,Adjectives,The room is too small for a large group.
number,ˈnʌmbər,число,1,Numbers,What is your phone number?
off,ɒf,выключено,1,Prepositions,Please turn the light off.
always,ˈɔːlweɪz,всегда,1,Adverbs,She always smiles at everyone.
move,muːv,двигаться,1,Verbs,We need to move the furniture.
night,naɪt,ночь,1,Time,It was a cold night.
live,lɪv,жить,1,Verbs,They live in New York.
Mr,mɪsˈtər,мистер,1,People,Mr. Smith is my teacher.
point,pɔɪnt,точка,1,Nouns,He made a good point in the meeting.
believe,bɪˈliːv,верить,1,Verbs,I believe you can do it.
hold,hoʊld,держать,1,Verbs,Please hold my hand.
today,təˈdeɪ,сегодня,1,Time,I have a lot to do today.
bring,brɪŋ,приносить,1,Verbs,Please bring your homework to class.
happen,ˈhæpən,происходить,1,Verbs,What will happen next?
next,nɛkst,следующий,1,Time,The next bus arrives at 3 PM.
without,wɪˈðaʊt,без,1,Prepositions,I can't live without my phone.
before,bɪˈfɔːr,до,1,Prepositions,I need to finish my work before lunch.
large,lɑːrʤ,большой,1,Adjectives,They live in a large house.
million,ˈmɪljən,миллион,1,Numbers,The company made a million dollars in profit.
must,mʌst,должен,1,Modal Verbs,You must wear a helmet when riding a bike.
home,hoʊm,дом,1,Places,Let's go home now.
under,ˈʌndər,под,1,Common Phrases,The cat is hiding under the table.
room,ruːm,комната,1,Places,This room is very spacious.
mother,ˈmʌðər,мать,1,People,My mother is an amazing cook.
area,ˈɛriə,область,1,Places,This area is known for its beautiful parks.
national,ˈnæʃənl,национальный,1,Common Phrases,She works for a national newspaper.
money,ˈmʌni,деньги,1,Common Phrases,Money can't buy happiness.
story,ˈstɔːri,история,1,Common Phrases,That's an interesting story.
young,jʌŋ,молодой,1,Common Phrases,He is still young and has a lot to learn.
fact,fækt,факт,1,Common Phrases,It's a fact that exercise is good for you.
month,mʌnθ,месяц,1,Time,I will start my new job next month.
different,ˈdɪfrənt,различный,1,Common Phrases,They have different opinions on the topic.
lot,lɒt,много,1,Common Phrases,There are a lot of books on the shelf.
study,ˈstʌdi,учиться,1,Common Phrases,I need to study for the test.
eye,aɪ,глаз,1,Body Parts,She has beautiful blue eyes.
job,ʤɒb,работа,1,Common Phrases,He got a new job as a teacher.
word,wɜːrd,слово,1,Common Phrases,Do you know what this word means?
though,ðoʊ,хотя,1,Common Phrases,I like the movie though it was a bit long.
business,ˈbɪznɪs,бизнес,1,Common Phrases,She runs her own business.
issue,ˈɪʃuː,вопрос/проблема,1,Common Phrases,We need to discuss this issue.
side,saɪd,сторона,1,Common Phrases,Please stand on the other side of the road.
kind,kaɪnd,вид/тип,1,Common Phrases,What kind of music do you like?
four,fɔːr,четыре,1,Numbers,I have four apples in my bag.
head,hɛd,голова,1,Body Parts,She shook her head in disagreement.
far,fɑːr,далеко,1,Common Phrases,The store is far from here.
black,blæk,чёрный,1,Colors,He is wearing a black jacket.
long,lɒŋ,длинный,1,Common Phrases,She has long hair.
both,boʊθ,оба,1,Common Phrases,Both of them are coming to the party.
little,ˈlɪtəl,маленький,1,Common Phrases,He has a little dog.
house,haʊs,дом,1,Places,They bought a new house.
yes,jɛs,да,1,Common Phrases,Yes I agree with you.
since,sɪns,с/так как,1,Common Phrases,I haven't seen him since last year.
provide,prəˈvaɪd,предоставлять,1,Common Phrases,They provide excellent customer service.
service,ˈsɜːrvɪs,услуга,1,Common Phrases,The service at the restaurant was great.
around,əˈraʊnd,вокруг,1,Common Phrases,We walked around the park.
friend,frɛnd,друг,1,People,She is my best friend.
important,ɪmˈpɔːrtənt,важный,1,Common Phrases,It's important to stay healthy.
father,ˈfɑːðər,отец,1,People,My father is a doctor.
sit,sɪt,сидеть,1,Common Phrases,Please sit down.
away,əˈweɪ,вдали,1,Common Phrases,He lives far away from here.
until,ənˈtɪl,до,1,Common Phrases,Wait until I get back.
power,ˈpaʊər,сила,1,Common Phrases,Knowledge is power.
hour,ˈaʊər,час,1,Time,It took an hour to get there.
game,ɡeɪm,игра,1,Common Phrases,They played a fun game.
often,ˈɔːfən,часто,1,Common Phrases,She often visits her grandmother.
yet,jɛt,ещё/пока,1,Common Phrases,He hasn't arrived yet.
line,laɪn,линия,1,Common Phrases,Please stand in line.
political,pəˈlɪtɪkəl,политический,1,Politics,She is interested in political issues.
end,ɛnd,конец,1,Common Phrases,This is the end of the road.
among,əˈmʌŋ,среди,1,Common Phrases,She is popular among her friends.
ever,ˈɛvər,когда-либо,1,Common Phrases,Have you ever been to Paris?
stand,stænd,стоять,1,Common Phrases,I can't stand the heat.
bad,bæd,плохой,1,Common Phrases,That was a bad idea.
however,haʊˈɛvər,однако,1,Common Phrases,He is smart; however he is lazy.
member,ˈmɛmbər,член,1,Common Phrases,He is a member of the club.
pay,peɪ,платить,1,Common Phrases,I need to pay my bills.
law,lɔː,закон,1,Politics,The new law was passed yesterday.
meet,miːt,встречать,1,Common Phrases,I will meet you at the restaurant.
car,kɑːr,автомобиль,1,Objects,He drives a red car.
city,ˈsɪti,город,1,Places,Paris is a beautiful city.
almost,ˈɔːlmoʊst,почти,1,Common Phrases,The movie is almost over.
include,ɪnˈkluːd,включать,1,Common Phrases,Please include your contact details.
continue,kənˈtɪnjuː,продолжать,1,Common Phrases,Let's continue our discussion.
set,sɛt,устанавливать,1,Common Phrases,
later,ˈleɪtər,позже,1,Time,
community,kəˈmjuːnɪti,сообщество,1,Common Phrases,
name,neɪm,имя,1,Common Phrases,
five,faɪv,пять,1,Numbers,
once,wʌns,однажды,1,Common Phrases,
white,waɪt,белый,1,Colors,
least,liːst,наименее,1,Common Phrases,
president,ˈprɛzɪdənt,президент,1,People,
learn,lɜːrn,учить,1,Common Phrases,
real,ˈriːəl,реальный,1,Common Phrases,
change,ʧeɪnʤ,изменять,1,Common Phrases,
team,tiːm,команда,1,Common Phrases,
minute,ˈmɪnɪt,минута,1,Time,
best,bɛst,лучший,1,Common Phrases,
several,ˈsɛvrəl,несколько,1,Common Phrases,
idea,aɪˈdɪə,идея,1,Common Phrases,
kid,kɪd,ребёнок,1,People,
body,ˈbɒdi,тело,1,Body Parts,
information,ˌɪnfərˈmeɪʃən,информация,1,Common Phrases,
nothing,ˈnʌθɪŋ,ничего,1,Common Phrases,
ago,əˈɡoʊ,назад,1,Common Phrases,
lead,liːd,вести,1,Common Phrases,
social,ˈsoʊʃəl,социальный,1,Common Phrases,
understand,ˌʌndərˈstænd,понимать,1,Common Phrases,
whether,ˈwɛðər,ли,1,Common Phrases,
watch,wɑːʧ,смотреть,1,Common Phrases,
together,təˈɡɛðər,вместе,1,Common Phrases,
follow,ˈfɑːloʊ,следовать,1,Common Phrases,
parent,ˈpɛrənt,родитель,1,People,
stop,stɒp,остановить,1,Common Phrases,
face,feɪs,лицо,1,Body Parts,
anything,ˈɛniθɪŋ,что угодно,1,Common Phrases,
public,ˈpʌblɪk,публичный,1,Common Phrases,
already,ɔːlˈrɛdi,уже,1,Common Phrases,
speak,spiːk,говорить,1,Common Phrases,
others,ˈʌðərz,другие,1,Common Phrases,
level,ˈlɛvl,уровень,1,Common Phrases,
add,æd,добавлять,1,Common Phrases,
office,ˈɒfɪs,офис,1,Places,
spend,spɛnd,тратить,1,Common Phrases,
health,hɛlθ,здоровье,1,Common Phrases,
person,ˈpɜːrsən,человек,1,People,
art,ɑːrt,искусство,1,Common Phrases,
war,wɔːr,война,1,Common Phrases,
history,ˈhɪstəri,история,1,Common Phrases,
party,ˈpɑːrti,вечеринка/партия,1,Common Phrases,
result,rɪˈzʌlt,результат,1,Common Phrases,
sure,ʃʊr,уверенный,1,Common Phrases,
party,ˈpɑːrti,вечеринка,1,Common Phrases,
within,wɪˈðɪn,в пределах,1,Common Phrases,
grow,ɡroʊ,расти,1,Common Phrases,
open,ˈoʊpən,открывать,1,Common Phrases,
morning,ˈmɔːrnɪŋ,утро,1,Time,
walk,wɔːk,ходить,1,Common Phrases,
reason,ˈriːzn,причина,1,Common Phrases,
low,loʊ,низкий,1,Common Phrases,
win,wɪn,выигрывать,1,Common Phrases,
research,rɪˈsɜːrʧ,исследование,1,Common Phrases,
girl,ɡɜːrl,девочка,1,People,
guy,ɡaɪ,парень,1,People,
early,ˈɜːrli,ранний,1,Common Phrases,
food,fuːd,еда,1,Common Phrases,
moment,ˈmoʊmənt,момент,1,Common Phrases,
himself,hɪmˈsɛlf,сам,1,Common Phrases,
air,eər,воздух,1,Nature,
teacher,ˈtiːʧər,учитель,1,People,
force,fɔːrs,сила,1,Common Phrases,
enough,ɪˈnʌf,достаточно,1,Common Phrases,
education,ˌɛdʒuˈkeɪʃən,образование,1,Common Phrases,
across,əˈkrɒs,через,1,Common Phrases,
although,ɔːlˈðoʊ,хотя,1,Common Phrases,
remember,rɪˈmɛmbər,помнить,1,Common Phrases,
foot,fʊt,нога,1,Body Parts,
second,ˈsɛkənd,второй,1,Time,
boy,bɔɪ,мальчик,1,People,
maybe,ˈmeɪbi,возможно,1,Common Phrases,
toward,tɔːrd,по направлению к,1,Common Phrases,
able,ˈeɪbəl,способный,1,Common Phrases,
age,eɪʤ,возраст,1,Common Phrases,
policy,ˈpɒləsi,политика,1,Politics,
everything,ˈɛvrɪθɪŋ,всё,1,Common Phrases,
love,lʌv,любовь,1,Common Phrases,
process,ˈprɑːsɛs,процесс,1,Common Phrases,
music,ˈmjuːzɪk,музыка,1,Common Phrases,
including,ɪnˈkluːdɪŋ,включая,1,Common Phrases,
consider,kənˈsɪdər,рассматривать,1,Common Phrases,
appear,əˈpɪər,появляться,1,Common Phrases,
actually,ˈækʧuəli,фактически,1,Common Phrases,
buy,baɪ,покупать,1,Common Phrases,
probably,ˈprɒbəbli,вероятно,1,Common Phrases,
human,ˈhjuːmən,человек,1,People,
